Code Identifiant de Spécialité;Dénomination du médicament;Forme pharmaceutique;Voies d'administration;Statut administratif de l’autorisation de mise sur 
le marché;Type de procédure d'autorisation de mise sur le marché;Etat de commercialisation;Date d’AMM;StatutBdm;Numéro de l’autorisation européenne;Titulaire;Surveillance renforcée
62679978;LANSOYL SANS SUCRE 78,23 g POUR CENT, gel oral en pot édulcoré à la saccharine sodique;Gel;orale;Autorisation active;Procédure nationale;Commercialisée;1990-02-28;;;JOHNSON & JOHNSON SANTE BEAUTE FRANCE;Non
62633436;LAROXYL 50 mg, comprimé pelliculé;Comprimé Pelliculé;orale;Autorisation active;Procédure nationale;Commercialisée;1991-04-17;;;TEOFARMA;Non
69304938;LASILIX FAIBLE 20 mg, comprimé;Comprimé;orale;Autorisation active;Procédure nationale;Commercialisée;1977-05-04;;;SANOFI AVENTIS FRANCE;Non
64501878;LEVETIRACETAM ARROW 1000 mg, comprimé pelliculé;Comprimé Pelliculé;orale;Autorisation active;Procédure nationale;Non commercialisée;2012-02-14;Warning disponibilité;;LABORATOIRES GERDA;Non
67703098;LEVETIRACETAM HOSPIRA 100 mg/ml, solution à diluer pour perfusion;Solution À Diluer Pour Perfusion;intraveineuse;Autorisation active;Procédure centralisée;Commercialisée;2014-08-01;;EU/1/13/889;HOSPIRA UK (ROYAUME-UNI);Non
61276718;LEVETIRACETAM ZYDUS 500 mg, comprimé pelliculé;Comprimé Pelliculé;orale;Autorisation active;Procédure nationale;Commercialisée;2014-01-31;;;ZYDUS FRANCE;Non
64924928;LEVOFLOXACINE HOSPIRA 5 mg/ml, solution pour perfusion;Solution Pour Perfusion;intraveineuse;Autorisation active;Procédure nationale;Commercialisée;2010-04-19;;;HOSPIRA FRANCE;Non
66289534;LEVOTHYROXINE BIOGARAN 125 microgrammes, comprimé sécable;Comprimé Sécable;orale;Autorisation active;Procédure nationale;Commercialisée;2009-03-30;;;BIOGARAN;Non
60916019;LISINOPRIL/HYDROCHLOROTHIAZIDE EG 20 mg/12,5 mg, comprimé sécable;Comprimé Sécable;orale;Autorisation active;Procédure nationale;Commercialisée;2005-06-20;;;EG LABO - LABORATOIRES EUROGENERICS;Non
68823314;LISINOPRIL/HYDROCHLOROTHIAZIDE MYLAN 20mg/12,5mg, comprimé sécable;Comprimé Sécable;orale;Autorisation active;Procédure nationale;Commercialisée;2005-08-03;;;MYLAN SAS;Non
61699426;LOCABIOTAL 0,25 %, solution pour pulvérisation nasale ou buccale;Solution Pour Pulvérisation Ou;"nasale;voie buccale autre";Autorisation active;Enreg phyto (Proc. Nat.);Commercialisée;2012-12-03;;;LES LABORATOIRES SERVIER;Non
62367569;LORATADINE TEVA CONSEIL 10 mg, comprimé;Comprimé;orale;Autorisation active;Procédure nationale;Commercialisée;2010-05-14;;;TEVA SANTE;Non
66042644;LOSARTAN EVOLUGEN 100 mg, comprimé pelliculé;Comprimé Pelliculé;orale;Autorisation active;Procédure nationale;Commercialisée;2008-05-13;;;EVOLUPHARM;Non
66336667;LOSARTAN PFIZER 50 mg, comprimé pelliculé sécable;Comprimé Pelliculé Sécable;orale;Autorisation abrogée;Procédure décentralisée;Non commercialisée;2010-02-04;Warning disponibilité;;PFIZER HOLDING FRANCE;Non
65638748;LOSARTAN TEVA 100 mg, comprimé pelliculé sécable;Comprimé Pelliculé Sécable;orale;Autorisation active;Procédure décentralisée;Commercialisée;2007-12-31;;;TEVA SANTE;Non
65647786;LOSARTAN/HYDROCHLOROTHIAZIDE MYLAN 50 mg/12,5 mg, comprimé pelliculé;Comprimé Pelliculé;orale;Autorisation active;Procédure nationale;Commercialisée;2009-05-06;;;MYLAN SAS;Non
62263022;LOSARTAN/HYDROCHLOROTHIAZIDE QUALIMED 50 mg/12,5 mg, comprimé pelliculé;Comprimé Pelliculé;orale;Autorisation abrogée;Procédure nationale;Non commercialisée;2009-05-06;Warning disponibilité;;QUALIMED (LYON);Non
67010731;LOVENOX 10 000 UI anti-Xa/1 ml, solution injectable en seringue préremplie;Solution Injectable;"intraveineuse;sous-cutanée";Autorisation active;Procédure nationale;Commercialisée;1993-03-17;;;SANOFI AVENTIS FRANCE;Non
69343453;MAGNESIA CARBONICA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;Poudre Et Pommade Et Comprimé Et Granules Et Solution(s);"cutanée;orale;sublinguale";Autorisation active;Enreg homéo (Proc. Nat.);Commercialisée;2009-06-17;;;BOIRON;Non
67282578;MAGNESPASMYL 47,4 mg, comprimé pelliculé;Comprimé Pelliculé;orale;Autorisation active;Procédure nationale;Commercialisée;1996-12-23;;;DEXO;Non
66849292;MEDIVEINE 300 mg, comprimé;Comprimé;orale;Autorisation active;Procédure nationale;Commercialisée;1992-03-31;;;ELERTE;Non
60330522;MELOXICAM BIOGARAN 15 mg, comprimé sécable;Comprimé Sécable;orale;Autorisation active;Procédure nationale;Commercialisée;2009-08-27;;;BIOGARAN;Non
63922803;MELOXICAM TEVA 15 mg, comprimé sécable;Comprimé Sécable;orale;Autorisation active;Procédure de reconnaissance mutuelle;Commercialisée;2006-07-02;;;TEVA SANTE;Non
64359400;MEMANTINE ARROW 10 mg, comprimé pelliculé secable;Comprimé Pelliculé Sécable;orale;Autorisation active;Procédure nationale;Commercialisée;2013-10-10;;;ARROW GENERIQUES;Non
66418833;MEMANTINE RANBAXY 20 mg, comprimé pelliculé;Comprimé Pelliculé;orale;Autorisation active;Procédure décentralisée;Commercialisée;2014-08-01;;;RANBAXY PHARMACIE GENERIQUES;Non
64637903;MEMANTINE TEVA SANTE 20 mg, comprimé pelliculé;Comprimé Pelliculé;orale;Autorisation active;Procédure nationale;Commercialisée;2013-02-20;;;TEVA SANTE;Non
69391124;MENINGITEC, suspension injectable en seringue préremplie. Vaccin méningococcique du sérogroupe C oligosidique conjugué (adsorbé);Suspension Injectable;intramusculaire;Autorisation active;Procédure décentralisée;Commercialisée;2007-11-16;;;NURON BIOTECH (PAYS-BAS);Non
68006344;MEPACYL, solution pour usage dentaire;Solution Pour Usage Dentaire;dentaire;Autorisation active;Procédure nationale;Commercialisée;1997-05-26;;;PRODUITS DENTAIRES PIERRE ROLLAND;Non
64750210;METFORMINE ARROW 500 mg, comprimé pelliculé;Comprimé Pelliculé;orale;Autorisation active;Procédure nationale;Commercialisée;2001-09-13;;;ARROW GENERIQUES;Non
64627492;METFORMINE EG LABO 850 mg, comprimé pelliculé;Comprimé Pelliculé;orale;Autorisation active;Procédure nationale;Commercialisée;1998-06-05;;;EG LABO - LABORATOIRES EUROGENERICS;Non
67945144;METFORMINE PHR LAB 850 mg, comprimé pelliculé;Comprimé Pelliculé;orale;Autorisation active;Procédure nationale;Non commercialisée;1998-06-05;Warning disponibilité;;TEVA SANTE;Non
67235735;METFORMINE RANBAXY 500 mg, comprimé pelliculé;Comprimé Pelliculé;orale;Autorisation active;Procédure nationale;Commercialisée;1999-09-02;;;RANBAXY PHARMACIE GENERIQUES;Non
